564, 25 
832, 28 
357, 25 
944, 13 
94, 19 
747, 25 
884, 13 
608, 13 
682, 19 
818, 22 
731, 22 
512, 22 
829, 25 
810, 16 
919, 22 
921, 19 
682, 16 
538, 16 
883, 28 
716, 25 
190, 16 
979, 28 
835, 16 
608, 16 
919, 31 
844, 19 
919, 16 
890, 31 
679, 13 
707, 19 
946, 22 
933, 19 
614, 28 
164, 22 
791, 16 
765, 16 
989, 22 
739, 16 
776, 19 
430, 16 
897, 28 
845, 25 
891, 22 
316, 22 
685, 19 
624, 13 
871, 25 
909, 22 
527, 22 
571, 25 
600, 7 
563, 25 
399, 19 
831, 28 
753, 13 
742, 19 
569, 22 
455, 16 
773, 28 
840, 16 
250, 19 
975, 28 
706, 13 
824, 28 
980, 25 
745, 25 
902, 16 
840, 22 
841, 25 
980, 19 
712, 19 
588, 10 
805, 31 
721, 31 
696, 4 
567, 25 
970, 19 
604, 22 
483, 31 
548, 13 
955, 10 
797, 22 
565, 16 
749, 19 
714, 19 
492, 19 
288, 16 
625, 19 
594, 22 
844, 19 
933, 34 
505, 25 
796, 31 
771, 25 
932, 19 
357, 22 
457, 13 
165, 22 
679, 25 
513, 22 
