10, 137 
20, 241 
30, 377 
40, 393 
50, 626 
60, 675 
70, 838 
80, 922 
90, 966 
100, 1489 
110, 1034 
120, 1529 
130, 2120 
140, 2833 
150, 2483 
160, 1801 
170, 2200 
180, 1807 
190, 1982 
200, 2085 
210, 2727 
220, 3594 
230, 2054 
240, 2003 
250, 3865 
260, 2185 
270, 2189 
280, 2333 
290, 3473 
300, 4315 
310, 2837 
320, 3354 
330, 3373 
340, 3118 
350, 2929 
360, 3043 
370, 4429 
380, 5100 
390, 4025 
400, 6219 
410, 4964 
420, 5131 
430, 5205 
440, 4960 
450, 5253 
460, 3897 
470, 6441 
480, 5929 
490, 4168 
500, 4579 
510, 4905 
520, 5782 
530, 5778 
540, 11696 
550, 4598 
560, 13778 
570, 4723 
580, 5022 
590, 5571 
600, 5146 
610, 5267 
620, 7221 
630, 10438 
640, 11490 
650, 5465 
660, 5709 
670, 9879 
680, 9368 
690, 6319 
700, 8208 
710, 11892 
720, 5980 
730, 10957 
740, 7741 
750, 7140 
760, 13571 
770, 8832 
780, 9417 
790, 6642 
800, 7264 
810, 6770 
820, 8672 
830, 6888 
840, 8958 
850, 7843 
860, 7898 
870, 9268 
880, 7160 
890, 8289 
900, 16202 
910, 7738 
920, 12113 
930, 9648 
940, 8106 
950, 12606 
960, 8071 
970, 11950 
980, 10299 
990, 14041 
1000, 8877 
